Transaction_ID,Date,Transaction_Description,Merchant_Name,Amount,Transaction_Type,Category
TXN000065,2024-03-31,RECURRING DEPOSIT,HDFC Bank RD,39411.02,Expense,Investment
TXN000066,2024-06-14,RAPIDO BIKE TAXI,Rapido,228.84,Expense,Transportation
TXN000067,2025-03-15,NEFT TRANSFER CREDIT,Individual,30360.00,Income,Transfer
TXN000068,2025-06-04,CASH WITHDRAWAL SBI ATM,SBI ATM,13987.63,Expense,Cash Withdrawal
TXN000069,2024-06-26,BYJUS LEARNING APP,Byju's,56031.14,Expense,Education
TXN000070,2024-10-24,SALARY CREDIT WIPRO,Wipro Ltd,138900.00,Income,Salary
TXN000071,2023-05-01,ATM WITHDRAWAL,ATM,14886.08,Expense,Cash Withdrawal
TXN000072,2023-01-24,COLLEGE FEE NEFT,University,11829.23,Expense,Education
TXN000073,2025-08-21,SCHOOL FEE PAYMENT,DPS School,44652.74,Expense,Education
TXN000074,2025-10-05,ANNUAL MAINTENANCE FEE,Bank,3580.00,Expense,Miscellaneous
TXN000075,2023-09-15,LIBRARY MEMBERSHIP FEE,City Library,4950.00,Expense,Education
TXN000076,2024-01-13,UBER TRIP,Uber,652.29,Expense,Transportation
TXN000077,2023-10-21,CASH WITHDRAWAL SBI ATM,SBI ATM,16810.33,Expense,Cash Withdrawal
TXN000078,2024-04-27,SALARY CREDIT TCS,TCS Ltd,132800.00,Income,Salary
TXN000079,2023-04-06,KFC,KFC,236.43,Expense,Food & Dining
TXN000080,2024-03-13,IMPS TRANSFER RECEIVED,Individual,9330.98,Income,Transfer
TXN000081,2022-05-20,UPI PAYMENT MISC,Individual,5030.00,Expense,Miscellaneous
TXN000082,2022-12-16,LIBRARY MEMBERSHIP FEE,City Library,2005.71,Expense,Education
TXN000083,2023-01-04,IKEA HOME STORE,IKEA,12910.00,Expense,Shopping
TXN000084,2024-05-14,COURSERA SUBSCRIPTION,Coursera,37631.78,Expense,Education
TXN000085,2024-10-19,GIFT PURCHASE UPI,Individual,7708.33,Expense,Miscellaneous
TXN000086,2024-11-04,MUTUAL FUND SIP,Groww,31765.51,Expense,Investment
TXN000087,2023-02-26,RENT TRANSFER,Landlord,40000.00,Expense,Rent
TXN000088,2023-08-11,ATM WITHDRAWAL,ATM,9950.00,Expense,Cash Withdrawal
TXN000089,2023-10-24,IMPS TRANSFER RECEIVED,Individual,18550.00,Income,Transfer
TXN000090,2022-08-15,SCHOOL FEE PAYMENT,DPS School,38322.49,Expense,Education
TXN000091,2024-11-19,ZEPTO GROCERY,Zepto,6650.00,Expense,Groceries
TXN000092,2022-06-11,INOX MOVIES,INOX,499.00,Expense,Entertainment
TXN000093,2023-12-17,RENT TRANSFER,Landlord,19500.00,Expense,Rent
TXN000094,2023-08-22,BROADBAND INTERNET BILL,ACT Fibernet,275.88,Expense,Utilities
TXN000095,2022-05-21,MCDONALDS,McDonald's,953.30,Expense,Food & Dining
TXN000096,2025-07-13,RENT PAYMENT UPI,Property Owner,55500.00,Expense,Rent
TXN000097,2025-10-24,FASTAG RECHARGE,NHAI FASTag,1060.00,Expense,Transportation
TXN000098,2023-08-29,WATER BILL,Municipal Water Board,1751.51,Expense,Utilities
TXN000099,2022-09-23,MAKEMYTRIP BOOKING,MakeMyTrip,49351.14,Expense,Travel
TXN000100,2025-05-13,IRCTC RAIL BOOKING,IRCTC,32630.00,Expense,Travel
TXN000101,2024-01-30,YOUTUBE PREMIUM,YouTube Premium,129.00,Expense,Entertainment
TXN000102,2025-10-17,DELHI METRO RECHARGE,DMRC,1453.19,Expense,Transportation
TXN000103,2024-09-19,1MG PHARMACY,1mg,5291.70,Expense,Healthcare
TXN000104,2022-02-03,BYJUS LEARNING APP,Byju's,31201.28,Expense,Education
TXN000105,2025-10-09,SHELL PETROL PUMP,Shell,4092.50,Expense,Fuel
TXN000106,2023-05-27,BMTC BUS PASS,BMTC,1920.00,Expense,Transportation
TXN000107,2025-11-20,ATM WITHDRAWAL,ATM,14769.83,Expense,Cash Withdrawal
TXN000108,2025-09-13,COURIER SERVICE PAYMENT,Delhivery,5582.46,Expense,Miscellaneous
TXN000109,2023-09-04,BLINKIT GROCERY,Blinkit,6101.76,Expense,Groceries
TXN000110,2025-05-07,FASTAG RECHARGE,NHAI FASTag,1095.30,Expense,Transportation
TXN000111,2022-02-08,CASH WITHDRAWAL ICICI ATM,ICICI ATM,17980.00,Expense,Cash Withdrawal
TXN000112,2024-03-10,UBER TRIP,Uber,1750.00,Expense,Transportation
TXN000113,2024-08-07,SALARY CREDIT INFOSYS,Infosys Ltd,194400.00,Income,Salary
TXN000114,2022-01-27,ANNUAL MAINTENANCE FEE,Bank,1460.00,Expense,Miscellaneous
TXN000115,2025-03-08,INTEREST CREDIT,Bank,6763.40,Income,Transfer
TXN000116,2022-03-20,SALARY CREDIT HCL,HCL Technologies,161500.00,Income,Salary
TXN000117,2025-04-23,UNACADEMY SUBSCRIPTION,Unacademy,15580.00,Expense,Education
TXN000118,2023-10-20,DIAGNOSTIC LAB TEST,Dr Lal PathLabs,4190.00,Expense,Healthcare
TXN000119,2022-12-23,NETMEDS ONLINE,Netmeds,10666.31,Expense,Healthcare
TXN000120,2022-08-05,TATA CLIQ,Tata Cliq,18400.07,Expense,Shopping
TXN000121,2022-05-16,SALON AND SPA PAYMENT,Lakme Salon,9338.21,Expense,Miscellaneous
TXN000122,2024-07-02,MUTUAL FUND SIP ZERODHA,Zerodha Coin,8381.51,Expense,Investment
TXN000123,2022-09-16,AMAZON PAY INDIA,Amazon,37771.38,Expense,Shopping
TXN000124,2025-01-10,CASH WITHDRAWAL HDFC ATM,HDFC ATM,10400.00,Expense,Cash Withdrawal
TXN000125,2023-01-06,SERVICE CHARGE DEBIT,Bank,8363.95,Expense,Miscellaneous
TXN000126,2024-02-23,ANNUAL MAINTENANCE FEE,Bank,6090.00,Expense,Miscellaneous
TXN000127,2022-02-26,NPS CONTRIBUTION,NPS Trust,24360.00,Expense,Investment
TXN000128,2025-02-26,NETFLIX.COM,Netflix,199.00,Expense,Entertainment
TXN000129,2025-02-01,YOUTUBE PREMIUM,YouTube Premium,499.00,Expense,Entertainment
TXN000130,2024-02-23,APOLLO PHARMACY,Apollo Pharmacy,11770.00,Expense,Healthcare
TXN000131,2024-11-23,MUTUAL FUND SIP ZERODHA,Zerodha Coin,20589.19,Expense,Investment
TXN000132,2022-06-30,SALARY CREDIT ACCENTURE,Accenture,73900.00,Income,Salary
TXN000133,2024-04-26,SALARY CREDIT WIPRO,Wipro Ltd,109800.00,Income,Salary
TXN000134,2023-06-24,LIC PREMIUM PAYMENT,LIC of India,29142.26,Expense,Investment
TXN000135,2025-01-30,DTH RECHARGE TATA PLAY,Tata Play,2116.60,Expense,Utilities
TXN000136,2023-12-02,REFUND CREDIT,Merchant Refund,27320.00,Income,Transfer
TXN000137,2024-02-06,NYKAA COSMETICS,Nykaa,71528.72,Expense,Shopping
TXN000138,2025-10-22,DELHI METRO RECHARGE,DMRC,1215.88,Expense,Transportation
TXN000139,2025-08-08,RENT TRANSFER,Landlord,45000.00,Expense,Rent
TXN000140,2024-02-23,ZOMATO ORDER,Zomato,1327.43,Expense,Food & Dining
TXN000141,2022-11-26,RENT TRANSFER,Landlord,43500.00,Expense,Rent
TXN000142,2022-12-18,PET STORE PURCHASE,Heads Up For Tails,7910.00,Expense,Miscellaneous
TXN000143,2023-10-21,METRO CARD RECHARGE,Metro Rail,1229.76,Expense,Transportation
TXN000144,2023-10-27,ZEE5 SUBSCRIPTION,Zee5,649.00,Expense,Entertainment
TXN000145,2023-08-02,NEFT TRANSFER CREDIT,Individual,38443.49,Income,Transfer
TXN000146,2025-08-23,APPLE MUSIC,Apple Music,99.00,Expense,Entertainment
TXN000147,2022-12-31,CASH WITHDRAWAL ICICI ATM,ICICI ATM,8050.00,Expense,Cash Withdrawal
TXN000148,2023-01-25,ZARA STORE,Zara,46642.66,Expense,Shopping
TXN000149,2025-08-20,MOBILE RECHARGE AIRTEL,Airtel,571.05,Expense,Utilities
TXN000150,2025-02-06,ELECTRICITY BILL,State Electricity Board,3241.99,Expense,Utilities
TXN000151,2024-08-28,ANNUAL MAINTENANCE FEE,Bank,3530.00,Expense,Miscellaneous
TXN000152,2024-12-28,RTGS TRANSFER CREDIT,Individual,4111.57,Income,Transfer
TXN000153,2023-01-25,HOTSTAR DISNEY,Disney+ Hotstar,129.00,Expense,Entertainment
TXN000154,2023-11-11,RENT PAYMENT UPI,Property Owner,36500.00,Expense,Rent
TXN000155,2022-10-30,IKEA HOME STORE,IKEA,59190.55,Expense,Shopping
TXN000156,2022-09-02,SERVICE CHARGE DEBIT,Bank,1520.00,Expense,Miscellaneous
TXN000157,2022-08-10,COURIER SERVICE PAYMENT,Delhivery,1310.00,Expense,Miscellaneous
TXN000158,2022-01-08,HP PETROL PUMP,HP Petrol,3854.04,Expense,Fuel
TXN000159,2023-08-31,RENT TRANSFER,Landlord,47500.00,Expense,Rent
TXN000160,2024-02-08,MOBILE RECHARGE VI,Vi,1890.17,Expense,Utilities
TXN000161,2022-11-20,CASH WITHDRAWAL SBI ATM,SBI ATM,15820.00,Expense,Cash Withdrawal
TXN000162,2023-03-21,COLLEGE FEE NEFT,University,20710.00,Expense,Education
TXN000163,2024-04-06,KFC,KFC,311.85,Expense,Food & Dining
TXN000164,2025-12-12,CASH WITHDRAWAL ICICI ATM,ICICI ATM,12851.34,Expense,Cash Withdrawal
TXN000165,2023-08-14,SALON AND SPA PAYMENT,Lakme Salon,7720.00,Expense,Miscellaneous
TXN000166,2025-02-16,WIFI BILL PAYMENT,Hathway,2385.00,Expense,Utilities
TXN000167,2024-10-19,RAPIDO BIKE TAXI,Rapido,1059.60,Expense,Transportation
TXN000168,2023-07-14,APPLE MUSIC,Apple Music,799.00,Expense,Entertainment
TXN000169,2022-01-15,LIC PREMIUM PAYMENT,LIC of India,29110.00,Expense,Investment
TXN000170,2025-05-26,ZEPTO GROCERY,Zepto,4890.18,Expense,Groceries
TXN000171,2022-12-11,YOUTUBE PREMIUM,YouTube Premium,499.00,Expense,Entertainment
TXN000172,2024-10-18,MUTUAL FUND SIP ZERODHA,Zerodha Coin,36990.00,Expense,Investment
TXN000173,2024-09-08,1MG PHARMACY,1mg,1100.00,Expense,Healthcare
TXN000174,2024-03-09,UNACADEMY SUBSCRIPTION,Unacademy,49760.00,Expense,Education
TXN000175,2025-03-01,INDIAN OIL PETROL PUMP,Indian Oil,827.38,Expense,Fuel
TXN000176,2024-10-14,H AND M STORE,H&M,62496.35,Expense,Shopping
TXN000177,2024-04-12,MCDONALDS,McDonald's,805.62,Expense,Food & Dining
TXN000178,2024-12-22,H AND M STORE,H&M,22258.35,Expense,Shopping
TXN000179,2024-07-20,MOBILE RECHARGE AIRTEL,Airtel,3810.00,Expense,Utilities
TXN000180,2022-08-08,AMAZON PRIME VIDEO,Amazon Prime,129.00,Expense,Entertainment
TXN000181,2024-08-15,DELHI METRO RECHARGE,DMRC,1617.14,Expense,Transportation
TXN000182,2025-03-29,DIAGNOSTIC LAB TEST,Dr Lal PathLabs,9834.35,Expense,Healthcare
TXN000183,2023-06-12,RECURRING DEPOSIT,HDFC Bank RD,43867.60,Expense,Investment
TXN000184,2025-12-28,ANNUAL MAINTENANCE FEE,Bank,5400.00,Expense,Miscellaneous
TXN000185,2022-12-30,MUTUAL FUND SIP,Groww,24055.52,Expense,Investment
TXN000186,2024-05-09,DIAGNOSTIC LAB TEST,Dr Lal PathLabs,14542.71,Expense,Healthcare
TXN000187,2023-07-08,CASH WITHDRAWAL HDFC ATM,HDFC ATM,5710.00,Expense,Cash Withdrawal
TXN000188,2022-09-12,COURIER SERVICE PAYMENT,Delhivery,6572.75,Expense,Miscellaneous
TXN000189,2025-10-22,RAPIDO BIKE TAXI,Rapido,927.35,Expense,Transportation
TXN000190,2024-10-24,MUTUAL FUND SIP,Groww,44160.00,Expense,Investment
TXN000191,2024-07-01,HOUSE RENT NEFT,Landlord,28500.00,Expense,Rent
TXN000192,2025-12-31,OYO ROOMS,OYO,18177.87,Expense,Travel
TXN000193,2025-05-19,ESSAR OIL FUEL STATION,Essar Oil,804.31,Expense,Fuel
TXN000194,2022-10-12,AMAZON PRIME VIDEO,Amazon Prime,299.00,Expense,Entertainment
TXN000195,2024-07-16,GOAIR FLIGHT,GoAir,64480.00,Expense,Travel
TXN000196,2023-09-07,HP PETROL PUMP,HP Petrol,2069.36,Expense,Fuel
TXN000197,2023-11-28,ZEPTO GROCERY,Zepto,7493.71,Expense,Groceries
TXN000198,2023-02-28,GAS BILL PAYMENT,Indane Gas,3282.09,Expense,Utilities
TXN000199,2023-09-22,ATM WITHDRAWAL,ATM,16500.00,Expense,Cash Withdrawal
TXN000200,2022-07-23,ELECTRICITY BILL,State Electricity Board,2560.79,Expense,Utilities
TXN000201,2025-11-21,WIFI BILL PAYMENT,Hathway,3688.77,Expense,Utilities
TXN000202,2024-04-17,STOCK PURCHASE NSE,Zerodha,18430.00,Expense,Investment
TXN000203,2024-10-09,BIGBASKET ONLINE,BigBasket,6850.00,Expense,Groceries
TXN000204,2025-09-08,AIR INDIA,Air India,70180.00,Expense,Travel
TXN000205,2022-04-25,IKEA HOME STORE,IKEA,22140.00,Expense,Shopping
TXN000206,2022-05-18,LIFESTYLE STORES,Lifestyle,7020.00,Expense,Shopping
TXN000207,2025-03-20,PET STORE PURCHASE,Heads Up For Tails,6702.19,Expense,Miscellaneous
TXN000208,2022-07-30,AIR INDIA,Air India,30992.26,Expense,Travel
TXN000209,2024-09-04,STOCK PURCHASE NSE,Zerodha,38410.02,Expense,Investment
TXN000210,2024-01-21,COURIER SERVICE PAYMENT,Delhivery,7010.00,Expense,Miscellaneous
TXN000211,2022-12-28,CASH WITHDRAWAL SBI ATM,SBI ATM,11312.27,Expense,Cash Withdrawal
TXN000212,2022-11-01,SONY LIV,SonyLIV,199.00,Expense,Entertainment
TXN000213,2023-07-25,COURIER SERVICE PAYMENT,Delhivery,7671.69,Expense,Miscellaneous
TXN000214,2023-07-20,INOX MOVIES,INOX,649.00,Expense,Entertainment
TXN000215,2022-02-08,SERVICE CHARGE DEBIT,Bank,7769.45,Expense,Miscellaneous
TXN000216,2022-08-19,MANIPAL HOSPITAL,Manipal Hospital,6330.00,Expense,Healthcare
TXN000217,2022-02-23,COURSERA SUBSCRIPTION,Coursera,46324.74,Expense,Education
TXN000218,2025-09-04,SALON AND SPA PAYMENT,Lakme Salon,6500.00,Expense,Miscellaneous
TXN000219,2024-02-20,DECATHLON SPORTS,Decathlon,29078.69,Expense,Shopping
TXN000220,2024-12-09,SALARY CREDIT ACCENTURE,Accenture,89600.00,Income,Salary
TXN000221,2023-10-07,AMAZON PRIME VIDEO,Amazon Prime,99.00,Expense,Entertainment
TXN000222,2023-03-29,UNACADEMY SUBSCRIPTION,Unacademy,9445.89,Expense,Education
TXN000223,2022-05-19,DELHI METRO RECHARGE,DMRC,1909.14,Expense,Transportation
TXN000224,2023-08-17,ESSAR OIL FUEL STATION,Essar Oil,3320.00,Expense,Fuel
TXN000225,2023-05-15,MUTUAL FUND SIP,Groww,2635.64,Expense,Investment
TXN000226,2024-04-08,RENT PAYMENT UPI,Property Owner,33500.00,Expense,Rent
TXN000227,2024-07-20,FLIPKART ONLINE,Flipkart,7060.00,Expense,Shopping
TXN000228,2023-06-19,BARBEQUE NATION,Barbeque Nation,425.75,Expense,Food & Dining
TXN000229,2024-05-01,DTH RECHARGE TATA PLAY,Tata Play,2880.00,Expense,Utilities
TXN000230,2024-07-09,BROADBAND INTERNET BILL,ACT Fibernet,2430.00,Expense,Utilities
TXN000231,2025-01-06,SALARY CREDIT HCL,HCL Technologies,80500.00,Income,Salary
TXN000232,2023-07-11,UPI PAYMENT RECEIVED,Individual,20810.00,Income,Transfer
TXN000233,2022-09-22,PARKING FEE PAYMENT,Parking Services,1210.33,Expense,Transportation
TXN000234,2024-03-20,UNACADEMY SUBSCRIPTION,Unacademy,16490.00,Expense,Education
TXN000235,2023-06-25,GOAIR FLIGHT,GoAir,37410.00,Expense,Travel
TXN000236,2023-01-23,STOCK PURCHASE NSE,Zerodha,770.74,Expense,Investment
TXN000237,2024-08-04,STAR BAZAAR,Star Bazaar,3480.00,Expense,Groceries
TXN000238,2024-11-08,SPENCERS RETAIL,Spencer's,5730.00,Expense,Groceries
TXN000239,2025-10-18,COURIER SERVICE PAYMENT,Delhivery,6750.00,Expense,Miscellaneous
TXN000240,2024-01-28,MYNTRA FASHION,Myntra,23510.00,Expense,Shopping
TXN000241,2023-11-07,BHARAT PETROLEUM,Bharat Petroleum,1719.15,Expense,Fuel
TXN000242,2025-01-30,MUTUAL FUND SIP,Groww,14582.44,Expense,Investment
TXN000243,2022-10-07,CASH WITHDRAWAL HDFC ATM,HDFC ATM,2670.00,Expense,Cash Withdrawal
TXN000244,2025-05-18,UNACADEMY SUBSCRIPTION,Unacademy,55740.59,Expense,Education
TXN000245,2024-09-17,LIC PREMIUM PAYMENT,LIC of India,46990.00,Expense,Investment
TXN000246,2025-05-12,CASH WITHDRAWAL SBI ATM,SBI ATM,12942.62,Expense,Cash Withdrawal
TXN000247,2024-08-17,FLIPKART ONLINE,Flipkart,72220.00,Expense,Shopping
TXN000248,2022-11-02,IMPS TRANSFER RECEIVED,Individual,8040.00,Income,Transfer
TXN000249,2025-09-24,TATA CLIQ,Tata Cliq,70600.00,Expense,Shopping
TXN000250,2025-07-04,LIBRARY MEMBERSHIP FEE,City Library,3890.00,Expense,Education
TXN000251,2022-08-31,RENT PAYMENT UPI,Property Owner,40000.00,Expense,Rent
TXN000252,2024-11-30,CASH WITHDRAWAL SBI ATM,SBI ATM,7079.43,Expense,Cash Withdrawal
TXN000253,2025-12-19,SALARY CREDIT ACCENTURE,Accenture,125700.00,Income,Salary
TXN000254,2023-10-04,TATA CLIQ,Tata Cliq,43266.79,Expense,Shopping
TXN000255,2023-10-16,ESSAR OIL FUEL STATION,Essar Oil,3014.13,Expense,Fuel
TXN000256,2024-07-22,SONY LIV,SonyLIV,499.00,Expense,Entertainment
TXN000257,2023-03-27,RENT PAYMENT UPI,Property Owner,17000.00,Expense,Rent
TXN000258,2022-01-22,SCHOOL FEE PAYMENT,DPS School,305.51,Expense,Education
TXN000259,2022-08-30,MOBILE RECHARGE JIO,Jio,3120.00,Expense,Utilities
TXN000260,2022-12-02,SALARY CREDIT HCL,HCL Technologies,57400.00,Income,Salary
TXN000261,2023-08-06,SALON AND SPA PAYMENT,Lakme Salon,4610.00,Expense,Miscellaneous
TXN000262,2022-04-11,MAX HOSPITAL,Max Healthcare,11237.10,Expense,Healthcare
TXN000263,2024-04-30,BYJUS LEARNING APP,Byju's,44842.67,Expense,Education
TXN000264,2022-09-14,BMTC BUS PASS,BMTC,1268.79,Expense,Transportation
TXN000265,2023-02-18,UPI PAYMENT RECEIVED,Individual,45690.00,Income,Transfer
TXN000266,2023-11-11,MOBILE RECHARGE VI,Vi,3870.00,Expense,Utilities
TXN000267,2023-02-02,HOUSE RENT NEFT,Landlord,12500.00,Expense,Rent
TXN000268,2023-12-27,IKEA HOME STORE,IKEA,5591.25,Expense,Shopping
TXN000269,2022-05-26,VISTARA AIRLINES,Vistara,38040.00,Expense,Travel
TXN000270,2022-12-08,MOBILE RECHARGE JIO,Jio,1581.70,Expense,Utilities
TXN000271,2025-09-04,SALARY CREDIT ACCENTURE,Accenture,31300.00,Income,Salary
TXN000272,2023-06-07,LIFESTYLE STORES,Lifestyle,50079.69,Expense,Shopping
TXN000273,2022-09-11,SALON AND SPA PAYMENT,Lakme Salon,4712.43,Expense,Miscellaneous
TXN000274,2022-08-20,INTEREST CREDIT,Bank,17700.00,Income,Transfer
TXN000275,2023-11-25,DONATION PAYMENT,NGO Trust,2082.61,Expense,Miscellaneous
TXN000276,2024-02-12,BOOKMYSHOW,BookMyShow,1499.00,Expense,Entertainment
TXN000277,2025-07-15,NPS CONTRIBUTION,NPS Trust,26091.85,Expense,Investment
TXN000278,2025-11-01,BOOKMYSHOW,BookMyShow,129.00,Expense,Entertainment
TXN000279,2023-10-27,CASH WITHDRAWAL ICICI ATM,ICICI ATM,2855.65,Expense,Cash Withdrawal
TXN000280,2025-06-08,STOCK PURCHASE NSE,Zerodha,43160.00,Expense,Investment
TXN000281,2022-06-18,SPOTIFY,Spotify,299.00,Expense,Entertainment
TXN000282,2023-08-13,RENT PAYMENT UPI,Property Owner,50500.00,Expense,Rent
TXN000283,2023-10-23,ZEPTO GROCERY,Zepto,4950.00,Expense,Groceries
TXN000284,2022-06-08,NATURE BASKET,Nature's Basket,5790.00,Expense,Groceries
TXN000285,2025-09-17,BEHROUZ BIRYANI,Behrouz Biryani,1120.00,Expense,Food & Dining
TXN000286,2022-05-27,SALARY CREDIT INFOSYS,Infosys Ltd,94800.00,Income,Salary
TXN000287,2022-05-14,AIR INDIA,Air India,66000.00,Expense,Travel
TXN000288,2023-04-22,SWIGGY DELHI,Swiggy,1320.00,Expense,Food & Dining
TXN000289,2025-11-14,BHARAT PETROLEUM,Bharat Petroleum,851.85,Expense,Fuel
TXN000290,2022-10-22,METRO CARD RECHARGE,Metro Rail,617.98,Expense,Transportation
TXN000291,2025-12-20,METRO CARD RECHARGE,Metro Rail,903.63,Expense,Transportation
TXN000292,2022-04-19,RENT TRANSFER,Landlord,49000.00,Expense,Rent
TXN000293,2022-07-11,SWIGGY BANGALORE,Swiggy,445.16,Expense,Food & Dining
TXN000294,2023-02-05,DIAGNOSTIC LAB TEST,Dr Lal PathLabs,11040.46,Expense,Healthcare
TXN000295,2022-11-30,PET STORE PURCHASE,Heads Up For Tails,5860.00,Expense,Miscellaneous
TXN000296,2024-04-12,BEHROUZ BIRYANI,Behrouz Biryani,1464.68,Expense,Food & Dining
TXN000297,2022-07-10,BIGBASKET ONLINE,BigBasket,2570.00,Expense,Groceries
